STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,FREQ,Fréquence d'observation,TIME_PERIOD,Période de temps,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unité de mesure,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie,BASE_PER,Période de base,METHODOLOGY,Méthode,DECIMALS,Decimals,PRICE_BASE,Ajustement,ADJUSTMENT,Base de prix
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2023-Q2,,5.45930245473026,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2023-Q1,,5.50462166612962,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2022-Q4,,5.09404914394628,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2022-Q3,,4.38755980986733,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2022-Q2,,3.69964562856521,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2022-Q1,,2.5925783382573,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2021-Q4,,2.39352870376915,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2021-Q3,,1.3134203870413,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2021-Q2,,0.855680067780796,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2021-Q1,,1.0193952428036,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2020-Q4,,0.261062935939023,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2020-Q3,,0.634678857614432,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2020-Q2,,0.859581274256826,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2020-Q1,,1.05401016838036,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2019-Q4,,1.22487124694503,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2003-Q1,,1.93944668290153,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2002-Q4,,2.27291756464051,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2002-Q3,,2.47595089509117,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2002-Q2,,2.44586220240497,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2002-Q1,,2.55481509514014,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2018-Q4,,1.04190195961564,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2018-Q3,,1.02368676603868,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2018-Q2,,0.94296998716213,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2018-Q1,,1.05213944643384,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2017-Q4,,0.936461258537975,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2017-Q3,,1.15274172666962,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
