STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,FREQ,Fréquence d'observation,TIME_PERIOD,Période de temps,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unité de mesure,PRICE_BASE,Ajustement,ADJUSTMENT,Base de prix,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie,BASE_PER,Période de base,METHODOLOGY,Méthode,DECIMALS,Decimals
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2019-Q1,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2002-Q4,,1.75,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2002-Q3,,2.25,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2002-Q2,,2.25,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2002-Q1,,2.25,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2001-Q4,,2.25,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2001-Q3,,2.75,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2001-Q2,,3.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2017-Q4,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2017-Q3,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2017-Q2,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2017-Q1,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2016-Q4,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2016-Q3,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
